day,total_working,employee_count,part_timer_count,dummy_count,job_責,job_事,job_裏,job_人,job_動,job_運,job_清,job_売
1,15,15,0,0,1,1,1,5,1,2,2,2
2,16,15,1,0,1,1,1,6,1,2,2,2
3,16,15,1,0,1,1,1,6,1,2,2,2
4,16,14,2,0,1,1,1,6,1,2,2,2
5,16,13,3,0,1,1,1,6,1,2,2,2
6,15,11,4,0,1,1,1,5,1,2,2,2
7,16,10,6,0,1,1,1,6,1,2,2,2
8,16,15,1,0,1,1,1,6,1,2,2,2
9,16,15,1,0,1,1,1,6,1,2,2,2
10,16,15,1,0,1,1,1,6,1,2,2,2
11,15,14,1,0,1,1,1,5,1,2,2,2
12,16,10,6,0,1,1,1,6,1,2,2,2
13,16,14,2,0,1,1,1,6,1,2,2,2
14,16,10,6,0,1,1,1,6,1,2,2,2
15,16,15,1,0,1,1,1,6,1,2,2,2
16,15,15,0,0,1,1,1,5,1,2,2,2
17,16,15,1,0,1,1,1,6,1,2,2,2
18,16,11,5,0,1,1,1,6,1,2,2,2
19,16,12,4,0,1,1,1,6,1,2,2,2
20,16,13,3,0,1,1,1,6,1,2,2,2
21,15,12,3,0,1,1,1,5,1,2,2,2
22,16,15,1,0,1,1,1,6,1,2,2,2
23,16,15,1,0,1,1,1,6,1,2,2,2
24,16,15,1,0,1,1,1,6,1,2,2,2
25,16,11,5,0,1,1,1,6,1,2,2,2
26,15,11,4,0,1,1,1,5,1,2,2,2
27,16,14,2,0,1,1,1,6,1,2,2,2
28,16,12,4,0,1,1,1,6,1,2,2,2
29,16,15,1,0,1,1,1,6,1,2,2,2
30,16,15,1,0,1,1,1,6,1,2,2,2
31,15,15,0,0,1,1,1,5,1,2,2,2
