,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
統括A,責,責,責,,責,責,,責,責,責,,責,責,,責,責,責,,責,責,,責,責,責,,責,責,,責,責,責
副統括A,事,事,事,事,事,,,事,事,事,事,事,,,事,事,事,責,事,,,事,事,事,事,,,事,事,事,事
火葬員A,人,人,人,,人,人,,動,人,人,,人,,人,人,人,人,,人,,人,人,人,人,,,人,人,人,人,人
火葬員B,人,動,人,動,,,動,人,人,人,動,,,人,人,人,人,,,人,人,人,人,人,,,人,人,人,人,動
火葬員C,人,人,人,人,人,,,人,動,人,人,人,,,人,人,動,動,人,,,動,人,人,人,,人,,人,人,人
火葬員D,人,人,人,,人,人,,人,人,人,,人,人,,人,人,人,,人,動,,人,人,人,,動,,人,人,人,人
火葬員E,人,人,動,,,人,人,人,人,人,,,人,人,人,人,人,,,人,動,人,動,動,,,人,動,人,人,人
火葬員F,人,人,人,,人,人,,人,人,人,,人,,人,人,人,人,,人,,人,人,人,人,,人,,人,動,人,人
清掃員A,,清,,清,清,,,,,清,,清,,,清,清,,,,清,清,,清,,清,清,清,清,,,
清掃員B,,,,,清,清,,清,清,,清,清,,,,清,,清,清,,清,,清,清,清,,,,,清,清
清掃員C,清,,清,清,,,清,清,清,,清,,清,清,清,,清,,,,,清,,清,,,,清,清,,清
清掃員D,清,清,清,,,清,清,,,清,,,清,清,,,清,清,清,清,,清,,,,清,清,,清,清,
売店従業員A,売,売,売,売,,売,,売,売,売,,,売,売,,売,売,売,,,売,売,売,,売,,,売,売,売,
売店従業員B,売,,売,,売,売,売,,売,,売,売,売,,売,売,,売,売,売,,,売,売,売,売,売,,,売,売
売店従業員C,,売,,売,売,,売,売,,売,売,売,,売,売,,売,,売,売,売,売,,売,,売,売,売,売,,売
霊柩運送員A,,運,運,,運,,運,,運,運,,運,運,運,,,運,運,運,,運,運,,,運,運,運,運,運,,
霊柩運送員B,運,運,,運,運,運,,運,運,,運,運,,運,運,運,,運,,運,運,,運,運,運,,運,,運,運,運
霊柩運送員C,運,,運,運,,運,運,運,,運,運,,運,,運,運,運,,運,運,,運,運,運,,運,,運,,運,運
パート長A,,,,人,動,動,,,,,,人,人,人,,,,,,人,,,,,動,人,,,,,
パート長B,動,,,人,,人,人,,,,人,人,人,,,動,,人,動,,人,,,,人,人,,,,,
パート長C,,,,,,,人,,人,,,,動,動,,,,人,,人,,,,,人,人,,,,,
パート長D,,,人,人,,,人,人,,,人,,,,,,,人,,,,,,,,,人,,,動,
パート短A,,人,,,,,人,,,,,,,人,,,,,人,,人,,,,人,,動,人,,,
パート短B,,,,人,,,,,,動,人,,,,,,,人,人,人,,,,,,,人,,,,
パート短C,,,,人,人,人,,,,,人,,人,,,,,人,,,,人,,,人,人,,人,,,
パート短D,,,,,,,人,,,,,動,人,,動,,,人,,人,人,,,人,人,人,,,人,,人
N1,,,,,,,事,,,,,,,,,,,,,,,,,,,,,囲,,,
N2,,,,,,,,,,,,,,,,,,,,,,,,,責,,,,,囲,囲
N3,,,,,囲,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,囲,,,,,,,,,,,,,,囲,,囲,,,,,,,,,事,囲,,,,
N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,,,,,,,,,,,,,,,,,,,,,,,,,囲,,,,,,
N7,,,,責,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N10,,,囲,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N11,,,,,,,,,,,責,囲,,囲,,囲,,,,囲,,,囲,,,,,,,,
N12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N13,,,,,,,,,,,,,,,,,,,,,,,,囲,,,,,,,
N14,,,,,,事,,,,,,,,,,,,,,,,,,,,,,,,,
N15,,,,囲,,,,,,,,,,,,,,囲,囲,事,,,,,,囲,,,,,
N16,,,,,,,,,,囲,囲,,,,,,,,,,責,,,,,,,,,,
N17,,,,,,,,,囲,,,,,責,,,,,,,囲,,,,,,,,,,
N18,,囲,,,,,,,,,,,囲,,,,,,,,,,,,,,,,囲,,
N19,,,,,,,責,囲,,,,,,,,,,,,,,囲,,,,,,,,,
N20,,,,,,囲,囲,,,,,,事,事,,,,事,,,事,,,,,,事,責,,,
