staff,type,min,works,start_day,max
統括A,under_min_month,20.0,18,,
副統括A,under_min_month,20.0,15,,
事務員A,under_min_month,20.0,14,,
事務員B,under_min_month,20.0,13,,
火葬業務統括A,under_min_month,20.0,14,,
火葬業務副統括A,over_7days,,6,9.0,5.0
火葬業務副統括A,under_min_month,20.0,16,,
火葬員A,under_min_month,20.0,13,,
火葬員B,over_7days,,6,17.0,5.0
火葬員B,over_7days,,6,18.0,5.0
火葬員B,under_min_month,20.0,14,,
火葬員C,over_7days,,6,21.0,5.0
火葬員C,over_7days,,6,22.0,5.0
火葬員C,over_7days,,6,23.0,5.0
火葬員C,over_7days,,6,24.0,5.0
火葬員C,under_min_month,20.0,13,,
火葬員D,under_min_month,20.0,15,,
火葬員E,over_7days,,6,1.0,5.0
火葬員E,under_min_month,20.0,19,,
火葬員F,over_7days,,6,2.0,5.0
火葬員F,over_7days,,6,3.0,5.0
火葬員F,under_min_month,20.0,18,,
清掃員A,under_min_month,20.0,14,,
清掃員B,under_min_month,20.0,14,,
清掃員C,over_7days,,6,4.0,5.0
清掃員C,over_7days,,6,5.0,5.0
清掃員C,under_min_month,20.0,16,,
清掃員D,under_min_month,20.0,16,,
売店従業員A,under_min_month,20.0,15,,
売店従業員B,over_7days,,6,5.0,5.0
売店従業員B,over_7days,,6,6.0,5.0
売店従業員B,over_7days,,6,7.0,5.0
売店従業員B,over_7days,,6,8.0,5.0
売店従業員B,over_7days,,6,19.0,5.0
売店従業員B,over_7days,,6,23.0,5.0
売店従業員B,over_7days,,6,24.0,5.0
売店従業員C,over_7days,,6,1.0,5.0
売店従業員C,over_7days,,6,2.0,5.0
売店従業員C,over_7days,,6,18.0,5.0
売店従業員C,over_7days,,6,19.0,5.0
売店従業員C,over_7days,,6,20.0,5.0
売店従業員C,over_7days,,7,21.0,5.0
売店従業員C,over_7days,,7,22.0,5.0
売店従業員C,over_7days,,7,23.0,5.0
売店従業員C,over_7days,,6,24.0,5.0
売店従業員C,over_consecutive,,8,21.0,7.0
売店従業員C,over_consecutive,,8,22.0,7.0
霊柩運送員A,over_7days,,6,11.0,5.0
霊柩運送員A,over_7days,,6,12.0,5.0
霊柩運送員A,over_7days,,6,13.0,5.0
霊柩運送員A,over_7days,,6,14.0,5.0
霊柩運送員A,under_min_month,20.0,17,,
霊柩運送員B,over_7days,,6,1.0,5.0
霊柩運送員B,over_7days,,6,5.0,5.0
霊柩運送員B,over_7days,,6,20.0,5.0
霊柩運送員B,over_7days,,6,21.0,5.0
霊柩運送員B,over_7days,,6,22.0,5.0
霊柩運送員B,under_min_month,20.0,19,,
霊柩運送員C,over_7days,,6,1.0,5.0
霊柩運送員C,over_7days,,6,2.0,5.0
霊柩運送員C,over_7days,,6,3.0,5.0
霊柩運送員C,over_7days,,6,4.0,5.0
霊柩運送員C,over_7days,,6,7.0,5.0
霊柩運送員C,over_7days,,6,8.0,5.0
霊柩運送員C,over_7days,,6,12.0,5.0
霊柩運送員C,over_7days,,6,13.0,5.0
霊柩運送員C,over_7days,,6,16.0,5.0
霊柩運送員C,over_7days,,6,24.0,5.0
