_section,index,_staff,total_workdays,staff,type,start_day,works,max,min,pos,max_work,min_work,diff
staff_workdays,0.0,統括A,19.0,,,,,,,,,,
staff_workdays,1.0,副統括A,19.0,,,,,,,,,,
staff_workdays,2.0,事務員A,10.0,,,,,,,,,,
staff_workdays,3.0,事務員B,14.0,,,,,,,,,,
staff_workdays,4.0,火葬業務統括A,16.0,,,,,,,,,,
staff_workdays,5.0,火葬業務副統括A,15.0,,,,,,,,,,
staff_workdays,6.0,火葬員A,16.0,,,,,,,,,,
staff_workdays,7.0,火葬員B,14.0,,,,,,,,,,
staff_workdays,8.0,火葬員C,16.0,,,,,,,,,,
staff_workdays,9.0,火葬員D,12.0,,,,,,,,,,
staff_workdays,10.0,火葬員E,17.0,,,,,,,,,,
staff_workdays,11.0,火葬員F,16.0,,,,,,,,,,
staff_workdays,12.0,清掃員A,14.0,,,,,,,,,,
staff_workdays,13.0,清掃員B,19.0,,,,,,,,,,
staff_workdays,14.0,清掃員C,14.0,,,,,,,,,,
staff_workdays,15.0,清掃員D,15.0,,,,,,,,,,
staff_workdays,16.0,売店従業員A,19.0,,,,,,,,,,
staff_workdays,17.0,売店従業員B,21.0,,,,,,,,,,
staff_workdays,18.0,売店従業員C,22.0,,,,,,,,,,
staff_workdays,19.0,霊柩運送員A,21.0,,,,,,,,,,
staff_workdays,20.0,霊柩運送員B,22.0,,,,,,,,,,
staff_workdays,21.0,霊柩運送員C,19.0,,,,,,,,,,
staff_workdays,22.0,パート長A,15.0,,,,,,,,,,
staff_workdays,23.0,パート長B,15.0,,,,,,,,,,
staff_workdays,24.0,パート長C,12.0,,,,,,,,,,
staff_workdays,25.0,パート長D,17.0,,,,,,,,,,
staff_workdays,26.0,パート短A,16.0,,,,,,,,,,
staff_workdays,27.0,パート短B,17.0,,,,,,,,,,
staff_workdays,28.0,パート短C,14.0,,,,,,,,,,
staff_workdays,29.0,パート短D,15.0,,,,,,,,,,
staff_workdays,30.0,N1,0.0,,,,,,,,,,
staff_workdays,31.0,N2,0.0,,,,,,,,,,
staff_workdays,32.0,N3,0.0,,,,,,,,,,
staff_workdays,33.0,N4,0.0,,,,,,,,,,
staff_workdays,34.0,N5,0.0,,,,,,,,,,
staff_workdays,35.0,N6,0.0,,,,,,,,,,
staff_workdays,36.0,N7,0.0,,,,,,,,,,
staff_workdays,37.0,N8,0.0,,,,,,,,,,
staff_workdays,38.0,N9,0.0,,,,,,,,,,
staff_workdays,39.0,N10,0.0,,,,,,,,,,
staff_workdays,40.0,N11,0.0,,,,,,,,,,
staff_workdays,41.0,N12,0.0,,,,,,,,,,
staff_workdays,42.0,N13,0.0,,,,,,,,,,
staff_workdays,43.0,N14,0.0,,,,,,,,,,
staff_workdays,44.0,N15,0.0,,,,,,,,,,
staff_workdays,45.0,N16,0.0,,,,,,,,,,
staff_workdays,46.0,N17,0.0,,,,,,,,,,
staff_workdays,47.0,N18,0.0,,,,,,,,,,
staff_workdays,48.0,N19,0.0,,,,,,,,,,
staff_workdays,49.0,N20,0.0,,,,,,,,,,
violation_rest,,,,統括A,over_7days,1.0,6.0,5.0,,,,,
violation_rest,,,,統括A,over_7days,25.0,6.0,5.0,,,,,
violation_rest,,,,統括A,under_min_month,,19.0,,20.0,,,,
violation_rest,,,,副統括A,over_7days,8.0,6.0,5.0,,,,,
violation_rest,,,,副統括A,over_7days,9.0,6.0,5.0,,,,,
violation_rest,,,,副統括A,over_7days,10.0,6.0,5.0,,,,,
violation_rest,,,,副統括A,over_7days,11.0,6.0,5.0,,,,,
violation_rest,,,,副統括A,over_7days,12.0,6.0,5.0,,,,,
violation_rest,,,,副統括A,over_7days,23.0,6.0,5.0,,,,,
violation_rest,,,,副統括A,under_min_month,,19.0,,20.0,,,,
violation_rest,,,,事務員A,under_min_month,,10.0,,20.0,,,,
violation_rest,,,,事務員B,under_min_month,,14.0,,20.0,,,,
violation_rest,,,,火葬業務統括A,under_min_month,,16.0,,20.0,,,,
violation_rest,,,,火葬業務副統括A,over_7days,11.0,6.0,5.0,,,,,
violation_rest,,,,火葬業務副統括A,over_7days,12.0,6.0,5.0,,,,,
violation_rest,,,,火葬業務副統括A,under_min_month,,15.0,,20.0,,,,
violation_rest,,,,火葬員A,under_min_month,,16.0,,20.0,,,,
violation_rest,,,,火葬員B,under_min_month,,14.0,,20.0,,,,
violation_rest,,,,火葬員C,under_min_month,,16.0,,20.0,,,,
violation_rest,,,,火葬員D,under_min_month,,12.0,,20.0,,,,
violation_rest,,,,火葬員E,under_min_month,,17.0,,20.0,,,,
violation_rest,,,,火葬員F,over_7days,17.0,6.0,5.0,,,,,
violation_rest,,,,火葬員F,over_7days,18.0,6.0,5.0,,,,,
violation_rest,,,,火葬員F,over_7days,19.0,6.0,5.0,,,,,
violation_rest,,,,火葬員F,under_min_month,,16.0,,20.0,,,,
violation_rest,,,,清掃員A,over_7days,7.0,6.0,5.0,,,,,
violation_rest,,,,清掃員A,under_min_month,,14.0,,20.0,,,,
violation_rest,,,,清掃員B,over_7days,19.0,6.0,5.0,,,,,
violation_rest,,,,清掃員B,over_7days,20.0,7.0,5.0,,,,,
violation_rest,,,,清掃員B,over_7days,21.0,7.0,5.0,,,,,
violation_rest,,,,清掃員B,over_7days,22.0,6.0,5.0,,,,,
violation_rest,,,,清掃員B,over_7days,23.0,6.0,5.0,,,,,
violation_rest,,,,清掃員B,over_consecutive,20.0,8.0,7.0,,,,,
violation_rest,,,,清掃員B,under_min_month,,19.0,,20.0,,,,
violation_rest,,,,清掃員C,under_min_month,,14.0,,20.0,,,,
violation_rest,,,,清掃員D,under_min_month,,15.0,,20.0,,,,
violation_rest,,,,売店従業員A,over_7days,16.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員A,over_7days,17.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員A,over_7days,18.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員A,over_7days,19.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員A,under_min_month,,19.0,,20.0,,,,
violation_rest,,,,売店従業員B,over_7days,20.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員B,over_7days,25.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,1.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,2.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,3.0,7.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,4.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,5.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,6.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,7.0,6.0,5.0,,,,,
violation_rest,,,,売店従業員C,over_7days,23.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員A,over_7days,9.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員A,over_7days,10.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員A,over_7days,11.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員A,over_7days,12.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員B,over_7days,3.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員B,over_7days,4.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員B,over_7days,5.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員B,over_7days,16.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員B,over_7days,17.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員B,over_7days,19.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員B,over_7days,20.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員C,over_7days,2.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員C,over_7days,3.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員C,over_7days,4.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員C,over_7days,5.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員C,over_7days,6.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員C,over_7days,23.0,6.0,5.0,,,,,
violation_rest,,,,霊柩運送員C,under_min_month,,19.0,,20.0,,,,
violation_fairness,,,,,,,,,,employee,22.0,10.0,12.0
violation_fairness,,,,,,,,,,part_timer,17.0,12.0,5.0
