day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店
1,16,15,1,0,0,0,0,0,0,0,0,0
2,16,15,1,0,0,0,0,0,0,0,0,0
3,15,14,1,0,0,0,0,0,0,0,0,0
4,16,10,6,0,0,0,0,0,0,0,0,0
5,16,15,1,0,0,0,0,0,0,0,0,0
6,16,9,7,0,0,0,0,0,0,0,0,0
7,16,15,1,0,0,0,0,0,0,0,0,0
8,16,15,1,0,0,0,0,0,0,0,0,0
9,15,15,0,0,0,0,0,0,0,0,0,0
10,16,14,2,0,0,0,0,0,0,0,0,0
11,16,9,7,0,0,0,0,0,0,0,0,0
12,16,10,6,0,0,0,0,0,0,0,0,0
13,16,15,1,0,0,0,0,0,0,0,0,0
14,16,15,1,0,0,0,0,0,0,0,0,0
15,15,15,0,0,0,0,0,0,0,0,0,0
16,16,15,1,0,0,0,0,0,0,0,0,0
17,16,9,7,0,0,0,0,0,0,0,0,0
18,16,9,7,0,0,0,0,0,0,0,0,0
19,16,15,1,0,0,0,0,0,0,0,0,0
20,16,15,1,0,0,0,0,0,0,0,0,0
21,16,15,1,0,0,0,0,0,0,0,0,0
22,16,15,1,0,0,0,0,0,0,0,0,0
23,16,15,1,0,0,0,0,0,0,0,0,0
24,16,9,7,0,0,0,0,0,0,0,0,0
25,15,9,6,0,0,0,0,0,0,0,0,0
26,16,15,1,0,0,0,0,0,0,0,0,0
27,16,15,1,0,0,0,0,0,0,0,0,0
28,16,15,1,0,0,0,0,0,0,0,0,0
29,16,15,1,0,0,0,0,0,0,0,0,0
30,16,15,1,0,0,0,0,0,0,0,0,0
